clue_id,definition,row
360,prune,149
370,fight,150
374,Organ stop,151
374,list,152
375,Appear,153
377,Watchword,154
378,In,155
380,rector,156
381,resign,157
385,Stage,158
387,Concentrate,159
389,Plant,160
395,Picture,161
397,Fear,162
398,Club,163
399,Key,164
400,Worn out,165
403,Philanderer,166
404,Utopian,167
405,Nation,168
406,Primate,169
408,File,170
409,Leave,171
411,dragon,172
412,Show,173
415,Condemn,174
415,explosion,175
416,Lock,176
418,Muscles,177
419,Cuckoo,178
420,high,179
426,Grain,180
427,Tough guys,181
429,saint,182
430,alleged,183
431,Cooler,184
432,Proposed,185
433,illusion,186
434,disturbance,187
436,Sprite,188
437,flower,189
438,Confused,190
438,sailing,191
439,lake,192
441,Initiation,193
442,to let loose,194
444,Province,195
445,Withdraw,196
446,Extra,197
448,Cock,198
449,chorus,199
450,store,200
456,Coffee,201
460,Wrong,202
460,a,203
461,Corporation,204
466,Dish,205
468,New,206
471,Eager,207
472,Serious,208
474,store,209
481,Corpse,210
484,slog,211
485,store,212
489,Dish,213
492,Router,214
493,fortune,215
494,tooth,216
495,a bloomer,217
498,Lying,218
505,cut back,219
506,everywhere,220
507,tricks,221
508,Check,222
514,hammer,223
518,Tool,224
519,Treatment,225
521,Pray,226
523,Christian,227
525,Stand for,228
526,go,229
529,pepper,230
531,approved,231
533,Introduce,232
536,Tea,233
551,fall,234
554,Letter,235
555,bird sanctuary,236
556,Comic,237
559,fake,238
560,money,239
562,resentment,240
563,Completely,241
564,boat,242
565,unit,243
566,One,244
568,communist,245
569,Original,246
574,Inject,247
575,Annoying,248
576,crew member,249
579,art,250
580,Old,251
598,fertiliser,252
604,Staying power,253
610,Aristocracy,254
614,Replacement,255
617,Abhorrent,256
618,Hat,257
619,Fortification,258
620,Disturbing,259
622,Capricious,260
623,drink,261
626,Part,262
630,Arab,263
634,Pull,264
638,Back,265
639,hat,266
640,Terror,267
642,Agreeable,268
646,Done,269
648,critical,270
649,the country,271
652,Trim,272
653,Praise,273
654,disgusting,274
656,Fielder,275
658,fault,276
659,benefit,277
663,coat,278
664,Construction,279
672,Boat,280
673,communion,281
674,The latest,282
677,Winning,283
683,sweets,284
684,Excluded,285
687,Crustacean,286
688,Reasonable,287
690,Obsession,288
692,Hoofed mammal,289
696,toy,290
698,secures,291
700,Rescue,292
705,wreckage,293
707,Will,294
710,Mister,295
711,Entertainer,296
712,Blade,297
715,College,298
715,window,299
717,Threat,300
720,Compound,301
721,Marx,302
722,Trade,303
722,vehicles,304
724,European,305
726,Calm,306
727,European,307
728,alarm,308
735,Stopping,309
736,Tries,310
737,Candlestick,311
738,City,312
743,Proper,313
744,a game,314
746,Grate,315
749,Suggest,316
750,Chop,317
752,Weapons,318
754,Brave,319
756,Good-looking,320
758,Mild-mannered,321
759,stomach,322
760,Quieter,323
761,Athlete,324
764,Severe,325
767,carpet,326
768,Test,327
769,Warlike,328
770,funny,329
772,Fool,330
774,mammal,331
778,Join,332
781,antelope,333
783,still,334
788,Listless,335
790,America,336
794,organ,337
800,White,338
804,to jump,339
807,Attendant,340
808,a fault,341
811,Bracketed,342
814,disease,343
817,dressing,344
818,City,345
820,Heavy,346
822,inscription,347
825,the best,348
831,language,349
833,Absolute,350
840,desire,351
841,Failing,352
841,desert,353
845,assassin,354
850,Jettison,355
851,Sandwich,356
851,spread,357
853,Stratified,358
858,Moderate,359
859,disloyalty,360
862,bitter,361
865,Dogmatic,362
866,horse,363
868,Bird,364
871,split,365
873,Stock,366
873,colours,367
875,Evergreen,368
876,pipe,369
877,Thriving,370
879,Shrub,371
880,Peer,372
881,Monkey,373
882,Syrup,374
883,Poet,375
884,engrossed,376
885,Torch,377
887,Passage,378
888,Sweet,379
889,Trinity,380
893,crown,381
894,remains,382
895,PM,383
899,Failing,384
901,Chairman,385
903,Parrot,386
905,particle,387
906,Delete,388
909,State,389
912,Suffer,390
914,Tell,391
916,Modern,392
920,Sign,393
921,party,394
923,Tangle with,395
925,Crooked,396
926,junk,397
927,place of worship,398
930,Noblewoman,399
932,aerial,400
935,relations,401
936,bottle opener,402
939,Gloomy,403
940,Climbed,404
946,Fancy,405
951,Plants,406
955,protein,407
956,Share,408
961,river,409
964,Anger,410
966,Lower,411
967,Sea nymph,412
968,Dairy product,413
973,Scorn,414
974,Insensitively,415
976,Insect,416
978,Language,417
979,Stick,418
980,Long,419
982,Produced,420
983,Custom,421
985,amusing,422
992,favour,423
994,Shellfish,424
995,Sweet,425
996,Unruffled,426
1002,Disconcert,427
1004,Care for,428
1006,Deduce,429
1007,Just,430
1012,Previous,431
1012,beliefs,432
1013,Geographical area,433
1014,Assails,434
1018,people,435
1020,Judge,436
1022,charm,437
1023,Suspends,438
1026,space program,439
1027,Discovers,440
1029,Necessary,441
1030,Impromptu,442
1034,Inactive,443
1040,Relaxation,444
1044,Type,445
1047,Material,446
1048,the news,447
1055,Wall in,448
1057,Neglect,449
1061,Sweet,450
1062,Spot,451
1063,Calm,452
1065,Despairing,453
1068,complacent,454
1069,wrong,455
1076,Bones,456
1077,game,457
1083,Grim,458
1084,Fur,459
1087,to recover,460
1088,Indifferent,461
1091,Paraffin oil,462
1092,neighbourhood,463
1093,bother,464
1094,Coarse,465
1097,Unscramble,466
1098,respect,467
1099,Formerly,468
1102,Bony,469
1104,split,470
1105,paper,471
1106,Poet,472
1108,place of worship,473
1109,Ate,474
1111,country,475
1115,epic poem,476
1117,The same,477
1118,hunch,478
1119,Fix,479
1122,Former,480
1124,Contemplate,481
1126,bare,482
1127,Game,483
1128,Fight,484
1129,gamble,485
1132,contract,486
1133,Many,487
1134,approved,488
1135,harsh,489
1138,Particular,490
1140,Withdraw,491
1142,Primary,492
1143,Spray,493
1146,Cereal,494
1150,Record,495
1151,Christian,496
1156,fish,497
1161,Places,498
1162,race,499
1164,Meat,500
1165,lazy,501
1169,single,502
1170,boy,503
1171,courtier,504
1173,poor,505
1175,Demanding,506
1185,pub,507
1187,Surrender,508
1188,Heavy,509
1190,delicate,510
1192,daring,511
1194,Artist,512
1197,Arctic,513
1197,fleet,514
1198,Instrument,515
1199,intelligence,516
1200,Discover,517
1201,Frank,518
1202,Drink,519
1203,drink,520
1208,drink,521
1209,Cease,522
1210,Sole,523
1211,Food,524
1211,drink,525
1212,Cleric,526
1213,food,527
1214,Wild,528
1216,Nonsense,529
1217,Writer,530
1219,Pan,531
1219,cook,532
1220,Sailing vessel,533
1221,Resourceful,534
1222,Band,535
1224,American,536
1226,Line,537
1234,Boldly,538
1236,Attentive,539
1237,hard,540
1240,host,541
1241,Leaves,542
1243,Kick,543
1244,fall,544
1248,The vicar,545
1248,turn,546
1250,tool,547
1251,dressed,548
1253,plant,549
1254,Ordered,550
1257,Appeal,551
1258,spouses,552
1260,Unhappy,553
1263,Hero,554
1264,infatuated,555
1265,a mistake,556
1266,Teacher,557
1267,Widespread,558
1267,rank,559
1268,Amusing,560
1270,An individual,561
1272,a bird,562
1274,a gale,563
1283,arm,564
1286,Bring down,565
1291,author,566
1293,Female,567
1294,Do well,568
1295,Piece of music,569
1297,card,570
1298,signal,571
1300,shaved,572
1302,order,573
1303,Agreement,574
1305,Terminology,575
1306,Intellectual,576
1308,Number,577
1309,Puzzle,578
1310,Open,579
1313,Harry,580
1314,Globe,581
1315,Familiarity,582
1316,Pick up,583
1317,Gripping,584
1318,indulgence,585
1321,Loom,586
1324,denunciation,587
1324,in,588
1326,blunt,589
1327,climber,590
1328,Fruit,591
1338,Girl,592
1340,Flap,593
1343,Coach,594
1345,Higher education,595
1346,force,596
1347,class,597
1348,suitable,598
1350,garment,599
1352,Variation,600
1353,uniform,601
1356,Wee,602
1357,Kid,603
1359,rock,604
1362,actor,605
1364,Commanding,606
1366,of course,607
1367,Showed,608
1368,newspaper,609
1369,issue,610
1370,Sauce,611
1370,bottle,612
1385,Pen,613
1388,Weapon,614
1389,Writer,615
1390,discipline,616
1392,bird,617
1402,a migrant,618
1405,drink,619
1410,by,620
1411,Object,621
1412,Freezing,622
1424,Adequate,623
1425,Mucky,624
1429,Warm,625
1431,players,626
1432,Fine,627
1436,relax,628
1437,Bones,629
1438,Finished,630
1439,Bread,631
1441,Obscure,632
1447,correct,633
1451,Impression,634
1453,Box,635
1453,set,636
1455,Casual,637
1456,Measure,638
1457,Injured,639
1458,punishment,640
1459,End,641
1460,Ruddy,642
1463,poisonous,643
1465,put down,644
1468,Tenor,645
1472,Discounted,646
1473,a stink,647
1492,fruit tree,648
1509,Outlaw,649
1511,argument,650
1512,State,651
1513,Ringing,652
1515,description,653
1516,strong,654
1518,producer,655
1521,Bird,656
1522,Check,657
1523,leaks,658
1525,Football,659
1530,wedding,660
1531,leave,661
1534,Christmas gift,662
1535,correspondence,663
1536,undergarment,664
1538,meeting,665
1539,Girl,666
1540,Laziness,667
1541,Host,668
1546,Roaming,669
1548,Frightening,670
1553,honey,671
1556,void,672
1563,representative,673
1564,shop,674
1565,offence,675
1567,Painter,676
1572,nation,677
1573,Astonished,678
1575,honey,679
1579,Lady,680
1583,author,681
1592,Jesting,682
1594,show,683
1595,prohibited,684
1596,thug,685
1598,Position,686
1599,Bunch,687
1604,dance,688
1606,Raise,689
1607,God,690
1611,fatigue,691
1612,Rows,692
1613,Soldier,693
1617,uncontaminated,694
1618,Pioneer,695
1619,Research,696
1621,a suit,697
1625,hurt,698
1626,Uses,699
1627,tube,700
1628,Onion,701
1631,independence,702
1633,Turmoil,703
1635,Arguing,704
1642,poverty,705
1645,tongue,706
1646,National,707
1650,Call for,708
1652,Split,709
1654,Youths,710
1656,bite,711
1660,crash,712
1662,broadcast,713
1666,Cap,714
1669,concession,715
1670,cheese,716
1671,Proactive,717
1672,Deduce,718
1673,Inform,719
1675,Still,720
1677,Topic,721
1678,left over,722
1680,Plant,723
1682,Movement,724
1687,scheme,725
1688,in vain,726
1691,Fearful,727
1692,irritation,728
1723,Obliged,729
1725,Genuine,730
1727,Present,731
1728,sword,732
1730,Nurse,733
1731,Pants,734
1732,cheese,735
1733,Penchant,736
1734,Mineral,737
1735,perhaps,738
1740,Rick,739
1742,wasted,740
1747,put on,741
1752,embarrass,742
1753,chest,743
1757,Accept,744
1760,Kit,745
1763,contempt of court,746
1765,recovery,747
1768,salesman,748
1770,prelude,749
1771,zip,750
1772,lout,751
1773,mushroom,752
1777,Room,753
1779,Spikes,754
1781,Desire,755
1782,physicist,756
1783,Partnership,757
1785,Drop anchor,758
1787,gas,759
1788,Country,760
1789,rodent,761
1792,stop,762
1795,Pass,763
1797,Funny,764
1798,project,765
1800,cut off,766
1805,See red,767
1805,hair,768
1808,In,769
1809,snake,770
1811,Enrage,771
1813,appetiser,772
1815,Idol,773
1817,Gather,774
1819,fizz,775
1821,Profits,776
1822,learned,777
1823,golf club,778
1824,anxiety,779
1829,poisoned,780
1830,required,781
1831,Standard,782
1831,decline,783
1832,Said,784
1834,Islanders,785
1835,clinging,786
1841,touching,787
1842,Weary,788
1847,Exactly,789
1848,monsoon,790
1851,Parvenu,791
1852,heavenly,792
1858,Striking,793
1863,hackneyed,794
1883,Rooms,795
1888,Cut,796
1892,tea,797
1894,Contributed,798
1898,Fit,799
1899,Evaluation,800
1901,contract,801
1902,Shorten,802
1905,lake,803
1906,help,804
1907,tree,805
1908,transactions,806
1912,Shark,807
1913,Find,808
1915,Collar,809
1916,philosopher,810
1921,Persevering,811
1923,larva,812
1924,Profit,813
1927,Fit in,814
1930,Drink,815
1932,Players,816
1934,Crews,817
1936,Section,818
1941,opera,819
1943,shamefaced,820
1944,Dull,821
1949,Capital,822
1952,flying,823
1953,Boundary,824
1954,Unhappy,825
1960,noblewoman,826
1961,competitor,827
1964,Bird,828
1965,desire,829
1971,Instrument,830
1980,Snake,831
1982,hatred,832
1986,Secure,833
1987,Buccaneer,834
1988,Stories,835
1992,Stupid,836
1994,Austere,837
1995,woman,838
1996,Seedy,839
1997,Book,840
2001,tree,841
2006,Military policeman,842
2007,Grumble,843
2018,poet,844
2038,Bureaux,845
2043,Economic system,846
2049,Privacy,847
2050,ordered,848
2053,Descent,849
2054,worthless,850
2057,Customary,851
2060,ditch,852
2063,socks,853
2066,Fish,854
2067,Dynamic,855
2068,Fruit,856
2070,Ray,857
2071,Advantage,858
2073,Greek,859
2074,Unrestrained,860
2075,Seaman,861
2077,errand boy,862
2078,Cagey,863
2084,Monk,864
2085,missile,865
2086,channel,866
2088,Change,867
2089,Support,868
2089,visit,869
2090,Spoil,870
2091,pipe,871
2095,partition,872
2098,protective cover,873
2099,Frenzied,874
2101,Way,875
2110,Boorish,876
2111,Creature,877
2114,Manifest,878
2115,Sage,879
2118,Heavyweight,880
2119,Goal,881
2124,Lot,882
2125,Grabbing,883
2133,Course,884
2134,digs,885
2135,Mild,886
2138,Wrong,887
2139,award,888
2145,Director,889
2147,Turn out,890
2149,Practise,891
2150,fruit,892
2151,Blooming,893
2152,Complain,894
2153,Info,895
2154,Customer,896
2157,Lofty,897
2159,genuine,898
2161,Strike,899
2162,celebration,900
2169,Look after,901
2170,Cannibal,902
2171,Sneak,903
2172,Conflict,904
2176,Epicurean,905
2177,trees,906
2178,accommodation,907
2179,Supremacy,908
2181,Haggard,909
2182,Official,910
2185,Cats,911
2186,Lawman,912
2187,Decoration,913
2190,Offensive,914
2194,Hopeless,915
2196,Breed,916
2198,Badgers,917
2199,Animated,918
2202,Build up,919
2204,Entertainment,920
2205,Irritable,921
2207,talent,922
2208,Guy,923
2210,control,924
2212,Arab,925
2213,Angelic,926
2214,nobleman,927
2217,Infant,928
2218,split,929
2220,Fix,930
2221,Worker,931
2222,Justifies,932
2224,Risk,933
2227,Speedy,934
2227,firm,935
2230,Expertise,936
2233,Dream,937
2234,Browning,938
2235,Queen,939
2236,mood,940
2237,Expect,941
2239,Giant,942
2242,State,943
2243,Product,944
2249,mum,945
2250,To butt in,946
2252,Near,947
2254,Denial,948
2256,Present,949
2260,person,950
2261,Limp,951
2262,Composer,952
2269,flaw,953
2272,singer,954
2273,Scholar,955
2274,Flatter,956
2277,Complaint,957
2279,rest,958
2282,Wants,959
2285,transformer,960
2286,castle in Spain,961
2288,barriers,962
2291,Desire,963
2294,enjoyment,964
2295,a newspaper,965
2296,mix,966
2297,Necessitate,967
2298,store,968
2300,skin,969
2301,Manage,970
2303,Request,971
2304,wood,972
2305,waste material,973
2306,Greeting,974
2308,Shelter,975
2310,Maltreat,976
2311,Weapon,977
2312,Friendly,978
2313,sense,979
2315,organisation,980
2316,Fellow,981
2318,island,982
2319,Children,983
2320,Withdraw,984
2321,Determined,985
2325,Begin,986
2330,Tried,987
2332,star,988
2333,forest,989
2338,Vivacious,990
2339,Count,991
2341,Female,992
2343,bones,993
2345,bondage,994
2347,Indonesian,995
2348,Memorable,996
2350,Scorer,997
2352,horn,998
2359,Mixed drink,999
2360,Study,1000
2361,Ignorant,1001
2364,Peculiar,1002
2366,Drink,1003
2368,thinker,1004
2369,shrub,1005
2372,cheese,1006
2376,style,1007
2381,Grasp,1008
2384,Bloomer,1009
2385,Battle,1010
2386,Request,1011
2391,Marry,1012
2393,holiday,1013
2397,example,1014
2398,Row,1015
2402,Scavenger,1016
2403,Quickly,1017
2408,Branch,1018
2412,Disdain,1019
2413,Author,1020
2414,Nothing,1021
2416,a thrill,1022
2419,figures,1023
2420,play,1024
2422,Film,1025
2423,isolation,1026
2424,carriage,1027
2425,battle,1028
2426,Morale,1029
2427,might,1030
2429,Reservist,1031
2430,executive,1032
2431,Flair,1033
2436,Deep down,1034
2437,Gauge,1035
2438,Outlaw,1036
2441,protector,1037
2444,port,1038
2448,material,1039
2454,Fabric,1040
2455,singer,1041
2457,Periodical,1042
2459,Set apart,1043
2461,Flower,1044
2468,Blue,1045
2487,fit,1046
2496,Recess,1047
2499,greed,1048
2506,Fly,1049
2508,colour,1050
2509,Swelling,1051
2514,vulture,1052
2517,Dog,1053
2521,a danger,1054
2522,Strong,1055
2523,Bird,1056
2524,bird,1057
2525,Mess about,1058
2526,Killers,1059
2527,Search,1060
2528,Squeaky,1061
2534,Rub,1062
2536,charity,1063
2538,Just,1064
2540,Lover,1065
2541,Quits,1066
2542,Ignore,1067
2544,Affair,1068
2545,drinks,1069
2548,Seriously,1070
2551,Over,1071
2552,Bird,1072
2553,put away,1073
2554,River,1074
2556,greeting,1075
2559,digit,1076
2560,rash,1077
2562,Misery,1078
2563,Container,1079
2564,Enduring,1080
2565,Kiss,1081
2566,Hide,1082
2570,Job,1083
2571,Country,1084
2572,sweetheart,1085
2573,Drop,1086
2574,explosive device,1087
2575,puzzle,1088
2576,Top,1089
2577,club,1090
2578,Hang,1091
2580,Dishonest,1092
2583,Plug,1093
2584,noblewoman,1094
2590,Pink,1095
2592,at odds,1096
2594,Go around,1097
2595,Fruit,1098
2598,2,1099
2602,Unconditional,1100
2604,Prevailed,1101
2605,party,1102
2606,light brown,1103
2614,fool,1104
2615,game,1105
2615,course,1106
2617,high dudgeon,1107
2618,Figure out,1108
2621,Irritable,1109
2628,fish,1110
2630,Herb,1111
2632,rest,1112
2634,fish,1113
2635,Raucous,1114
2638,Brisk,1115
2643,contempt,1116
2644,articles,1117
2646,charms,1118
2647,premier,1119
2654,crown,1120
2655,Devils,1121
2656,Abuse,1122
2658,Coppers,1123
2660,Seconds,1124
2662,report,1125
2664,pressure,1126
2665,devout,1127
2666,Surround,1128
2672,Plant,1129
2681,sweet-talking,1130
2690,Helps,1131
2693,Philanderer,1132
2694,Corrupt,1133
2695,Strawberry,1134
2702,African,1135
2727,jumper,1136
2730,European,1137
2736,Cover,1138
2737,Liking,1139
2739,Fairy,1140
2740,causing,1141
2740,anxiety,1142
2744,Model,1143
2749,Champ,1144
2750,agreement,1145
2752,reader,1146
2753,Ghastly,1147
2754,Fruit,1148
2757,cat,1149
2759,fat,1150
2760,soup,1151
2761,food,1152
2763,a mockery,1153
2764,Note,1154
2765,Work of art,1155
2765,ruined,1156
2767,illness,1157
2769,March,1158
2770,rarely,1159
2771,Referee,1160
2772,Supporter,1161
2773,Average,1162
2774,Ruin,1163
2775,Reserve,1164
2776,Island,1165
2777,Condition,1166
2780,treaty,1167
2781,Majestic,1168
2783,Still,1169
2785,Customary,1170
2788,Knight,1171
2790,excuse,1172
2791,Simple,1173
2792,Sick person,1174
2794,Ship,1175
2795,Commemorate,1176
2797,hand,1177
2803,location,1178
2804,Employ,1179
2806,jumper,1180
2807,group,1181
2808,Garment,1182
2809,Bond,1183
2810,Lip,1184
2811,a bonus,1185
2812,old age,1186
2814,cross,1187
2815,Reject,1188
2817,Views,1189
2818,Poet,1190
2820,Love,1191
2822,pirate,1192
2824,fruit,1193
2825,trip,1194
2826,snake,1195
2827,feldspar,1196
2831,Add,1197
2832,Traitor,1198
2862,Temperature scale,1199
2869,strand,1200
2871,mission,1201
2878,purpose,1202
2880,Charcoal burner,1203
2881,Last,1204
2881,offer,1205
2884,Army officer,1206
2884,depression,1207
2888,axe,1208
2890,Cardinal,1209
2892,Religious leaders,1210
2893,wrong,1211
2895,Poles,1212
2896,Exemplary,1213
2907,Release,1214
2911,number,1215
2915,Questioned,1216
2916,Profess,1217
2917,Apart,1218
2919,Troublemaker,1219
2923,Country,1220
2928,European,1221
2930,Syrian,1222
2932,Rose,1223
2938,Assistant,1224
2939,Communicates,1225
2941,spoiled,1226
2943,rebellious,1227
2949,to chop up,1228
2951,Eye,1229
2953,beauty,1230
2955,Take,1231
2956,Tribesman,1232
2957,Rank,1233
2958,Anticipated,1234
2959,an intangible asset,1235
2961,Spirit,1236
2962,Tough,1237
2967,Subsidiaries,1238
2974,Signs,1239
2976,A time,1240
2977,vehicle,1241
2978,Letter,1242
2979,Desire,1243
2980,Shoot,1244
2981,stone,1245
2983,Venetian,1246
2984,Pictures,1247
2985,scrap,1248
2988,device,1249
2989,theoretically,1250
2992,Bother,1251
2993,incidentally,1252
2994,Desperate,1253
2995,game,1254
2999,opera,1255
3010,Unqualified,1256
3013,Fish,1257
3014,Calming,1258
3019,Hamlet,1259
3021,claptrap,1260
3025,Noted,1261
3027,Dog,1262
3028,Promotion,1263
3029,Obscure,1264
3031,Suitable,1265
3036,peak,1266
3037,Engineer,1267
3038,Emperor,1268
3042,mob,1269
3043,Visit,1270
3046,compound,1271
3047,nonsense,1272
3048,Ruin,1273
3052,Instantly,1274
3055,remarkable,1275
3057,Obscure,1276
3058,Add up,1277
3059,Capital,1278
3060,observer,1279
3061,Number,1280
3064,Sentimental,1281
3065,Huge,1282
3066,Mark,1283
3067,overhaul,1284
3075,design,1285
3076,Scripture,1286
3080,Snow,1287
3087,Plant,1288
3094,Shrub,1289
3099,Material,1290
3105,carriage,1291
3108,A voice,1292
3110,Prince,1293
3111,Minister,1294
3113,Settles,1295
3115,brave,1296
3117,Trapped,1297
3118,Wet,1298
3120,pipette,1299
3124,property,1300
3126,tomb,1301
3131,remains,1302
3133,Understand,1303
3136,Letter,1304
3143,Exploit,1305
3145,Lifesaver,1306
3148,Physician,1307
3150,Trousers,1308
3153,Trade,1309
3160,plain,1310
3161,Contract,1311
3162,Sizeable,1312
3163,Physician,1313
3166,four times,1314
3170,wine,1315
3171,sensation,1316
3172,Detecting,1317
3173,supporter,1318
3183,Search,1319
3184,Philosopher,1320
3186,teaching method,1321
3188,essential,1322
3193,Resistance,1323
3199,Pinch,1324
3202,Oppressive,1325
3207,bush,1326
3208,Recidivist,1327
3209,a pile,1328
3211,pasta,1329
3215,ridiculed,1330
3217,exams,1331
3218,Drive,1332
3219,Cavalier,1333
3220,another,1334
3224,Found,1335
3225,climber,1336
3227,Pot,1337
3230,Landmark,1338
3232,Miserable,1339
3236,Plant,1340
3240,betrayal,1341
3241,Parasite,1342
3245,Poet,1343
3248,Play,1344
3250,creature,1345
3251,decoration,1346
3254,Musical instrument,1347
3256,route,1348
3259,Celebrates,1349
3261,genuine,1350
3262,Excitement,1351
3264,Cereal,1352
3267,Flop,1353
3267,country,1354
3269,Faculty,1355
3273,Downpour,1356
3276,Demur,1357
3277,Act,1358
3278,lover,1359
3280,senior citizen,1360
3282,Like,1361
3288,large number,1362
3289,allocation,1363
3291,Named,1364
3292,investigate,1365
3296,Trainees,1366
3302,zip,1367
3304,Hide,1368
3309,Conflict,1369
3314,Lower,1370
3316,gig,1371
3317,scientist,1372
3318,Lovely,1373
3324,Playwright,1374
3325,example,1375
3329,Cut,1376
3330,to revive,1377
3331,Strong,1378
3331,suit,1379
3332,Nation,1380
3333,Wash,1381
3334,Detesting,1382
3335,A shade,1383
3335,down,1384
3336,Verbatim,1385
3337,Food,1386
3339,Language,1387
3340,Dizzy,1388
3340,frivolous,1389
3341,Whopper,1390
3343,Fairly,1391
3345,parasol,1392
3347,ruffian,1393
3348,Musician,1394
3348,a cheat,1395
3349,Land,1396
3349,bird,1397
3351,shock,1398
3352,Ship,1399
3353,African,1400
3354,Country,1401
3355,Acceptable,1402
3355,penalty,1403
3356,Muscle,1404
3359,Inexpensive,1405
3360,split,1406
3361,Assume,1407
3364,untrue,1408
3368,Admiral,1409
3369,Bring up,1410
3372,review,1411
3373,operetta,1412
3374,Weapon,1413
3376,Let down,1414
3378,defeated,1415
3380,The same,1416
3383,round the bend,1417
3386,Mean,1418
3387,joint,1419
3388,Obscure,1420
3390,character,1421
3393,language,1422
3394,Green light,1423
3395,Gong,1424
3399,Service,1425
3401,Cheerful,1426
3405,Tip,1427
3408,Check,1428
3410,Dug,1429
3418,dagger,1430
3422,Computer software,1431
3424,Beliefs,1432
3429,Poet,1433
3437,Noise,1434
3439,Wind,1435
3442,Flags,1436
3445,cook,1437
3454,detestation,1438
3459,Anecdotes,1439
3463,bomb,1440
3466,Play,1441
3467,Announcement,1442
3469,Lots,1443
3471,Top,1444
3499,heroic tale,1445
3500,Brilliant,1446
3501,Flower,1447
3503,Extends,1448
3507,front,1449
3510,Stick,1450
3511,Bloomer,1451
3512,Judge,1452
3513,garb,1453
3515,regulations,1454
3518,cave,1455
3520,event,1456
3524,Nut,1457
3526,Glass,1458
3529,so long,1459
3531,Invalid,1460
3533,General,1461
3535,Tremble,1462
3536,Relations,1463
3538,Uplifting,1464
3541,Sweet,1465
3542,Region,1466
3543,case,1467
3544,Unit,1468
3546,Actor,1469
3550,abandoned,1470
3554,engravers,1471
3555,Slough,1472
3556,officially,1473
3558,Energy,1474
3559,country house,1475
3562,Impression,1476
3564,complaint,1477
3568,Mug,1478
3569,Italian,1479
3573,Flood,1480
3575,Growing,1481
3575,attractive,1482
3576,leguminous plant,1483
3577,Reliable,1484
3580,gambling game,1485
3582,Slumber,1486
3584,sister,1487
3586,Removes,1488
3587,Farm animal,1489
3587,scatter,1490
3589,warehouse,1491
3590,Habit-forming,1492
3591,Verse,1493
3595,Small,1494
3599,Ailment,1495
3600,Attraction,1496
3602,squirm,1497
3606,Sharp,1498
3610,Palm,1499
3612,path,1500
3613,Bomb,1501
3614,Drive,1502
3617,cocktail,1503
3618,Dependant,1504
3624,City,1505
3625,Dickens,1506
3626,Sign,1507
3630,Alert,1508
3631,A point,1509
3633,Potato,1510
3634,Slash,1511
3637,Legendary creature,1512
3642,fruit,1513
3643,Vehicle,1514
3646,Unwell,1515
3649,Allow,1516
3650,Policeman,1517
3652,Cosmetic,1518
3654,dancer,1519
3655,Resilient,1520
3656,Long,1521
3659,roughly,1522
3661,Loud,1523
