definition_wn,answer_wn,label,predicted_label,predicted_probability,definition,answer,surface,def_num_usable_synsets,ans_num_usable_synsets,distractor_source,cos_w1clue_w1all,cos_w1clue_w1common,cos_w1clue_w1obscure,cos_w1clue_w2all,cos_w1clue_w2common,cos_w1clue_w2obscure,wn_rel_hypernym,wn_rel_hypernym_of_hypernym,wn_rel_hypernym_of_hyponym,wn_rel_hyponym,wn_rel_hyponym_of_hypernym,wn_rel_hyponym_of_hyponym,wn_rel_hyponym_of_part_holonym,wn_rel_hyponym_of_part_meronym,wn_rel_member_meronym,wn_rel_member_meronym_of_member_holonym,wn_rel_part_holonym,wn_rel_part_holonym_of_hypernym,wn_rel_part_holonym_of_hyponym,wn_rel_part_holonym_of_part_meronym,wn_rel_part_meronym,wn_rel_part_meronym_of_hypernym,wn_rel_part_meronym_of_hyponym,wn_rel_substance_meronym,wn_rel_substance_meronym_of_hyponym,wn_rel_synonym,wn_max_path_sim,wn_shared_synset_count,surface_edit_distance,surface_length_ratio,surface_shared_first_letter,surface_char_overlap_ratio
plant,vervain,1,0,0.32,plant,VERVAIN,"Extremely arrogant, uprooting unknown plant",10,1,,0.6537002325057983,0.4369255006313324,0.24678730964660645,0.4523678123950958,0.4523678123950958,0.4523678123950958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,6,0.7142857142857143,0,0.2222222222222222
warrant,deserve,1,0,0.33,Warrant,DESERVE,Warrant low exam grades with terrible verse,6,1,,0.5893635749816895,0.3047984838485718,0.7508735656738281,0.529810905456543,0.5298107862472534,0.5298107862472534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,7,1.0,0,0.1111111111111111
uncertain,iffy,1,0,0.425,Uncertain,IFFY,Uncertain moment with Juliet disappearing,7,1,,0.812125563621521,0.751624584197998,0.7115179300308228,0.5758814811706543,0.5758814811706543,0.5758814811706543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.4444444444444444,0,0.1
fish,albacore,1,0,0.355,fish,ALBACORE,Under a pound — a characteristic of the fish,6,2,,0.9111220836639404,0.9011472463607788,0.905221164226532,0.6406943798065186,0.5899890661239624,0.657879114151001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,8,0.5,0,0.0
slugs,nips,1,0,0.485,Slugs,NIPS,Slugs overturn,10,9,,0.7521973848342896,0.6944665312767029,0.6863035559654236,0.5314699411392212,0.3888522982597351,0.4046421945095062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,4,0.8,0,0.14285714285714285
nonsense,malarkey,1,0,0.465,nonsense,MALARKEY,A bird originally encountered in this writer’s nonsense,3,1,,0.7167831659317017,0.6954783201217651,0.6727150678634644,0.5159342288970947,0.5159342288970947,0.5159342288970947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,8,1.0,0,0.1
cross,beefalo,1,0,0.49,cross,BEEFALO,Work meeting getting Swede upset and cross,16,1,,0.5060679912567139,0.31084614992141724,0.6414656639099121,0.3060188293457031,0.3060188293457031,0.3060188293457031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,7,0.7142857142857143,0,0.1111111111111111
agony,trauma,1,0,0.23,agony,TRAUMA,Painting held back by university scholar causes agony,2,2,,0.7297439575195312,0.5749855637550354,0.7285482883453369,0.6344150304794312,0.5707508325576782,0.6478447914123535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,6,0.8333333333333334,0,0.1111111111111111
overwhelmed,downtrodden,1,0,0.25,Overwhelmed,DOWNTRODDEN,"Overwhelmed by drink, model at bar seeks joint",4,1,,0.7998718619346619,0.8337749242782593,0.7476620674133301,0.5859853029251099,0.5859872102737427,0.5859872102737427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,10,1.0,0,0.45454545454545453
go_ahead,enterprising,1,0,0.4,Go ahead,ENTERPRISING,Go ahead to join quiet revolution,1,1,,0.6489361524581909,0.648935854434967,0.6489348411560059,0.4296475648880005,0.4296475648880005,0.4296478033065796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,12,0.6666666666666666,0,0.15384615384615385
unpleasant,ugly,1,0,0.335,unpleasant,UGLY,"Unprepossessing, lumpy, extremely unpleasant",1,4,,0.9047818183898926,0.9047819972038269,0.9047819972038269,0.796110212802887,0.7929222583770752,0.768679141998291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.4,1,0.2
vehicle,bus,1,0,0.27,vehicle,BUS,Supposedly vital measurement that’s incomplete for vehicle,4,7,,0.7408597469329834,0.8513244390487671,0.7209203243255615,0.7159141898155212,0.5739384889602661,0.29773521423339844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.42857142857142855,0,0.0
drinks,cobblers,1,0,0.48,drinks,COBBLERS,Moonshine drinks,10,5,,0.76022869348526,0.51301109790802,0.6811836957931519,0.5150883197784424,0.33291226625442505,0.4437475800514221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0.75,0,0.18181818181818182
way,method,1,0,0.25,Way,METHOD,Way defence ministry covers the unexpected,13,2,,0.7603937983512878,0.7956221103668213,0.36656826734542847,0.7729071974754333,0.7411892414093018,0.7448309659957886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,6,0.5,0,0.0
blazes,infernos,1,0,0.355,blazes,INFERNOS,Deduce numbers for blazes,10,3,,0.7744029760360718,0.6424511075019836,0.6250871419906616,0.7254252433776855,0.7283710241317749,0.6190537214279175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0.75,0,0.18181818181818182
animal,opossum,1,0,0.305,animal,OPOSSUM,Work on outsize problem for an animal,2,2,,0.8326295614242554,0.8704009056091309,0.6963469982147217,0.6175655126571655,0.5848874449729919,0.6291071176528931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,7,0.8571428571428571,0,0.1111111111111111
athletic,sporty,1,0,0.43,Athletic,SPORTY,"Athletic son — rather fat, needing to lose pounds",3,3,,0.8734687566757202,0.8175451755523682,0.830543041229248,0.5789593458175659,0.6013085842132568,0.5601021647453308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.75,0,0.08333333333333333
fury,outrage,1,0,0.23,fury,OUTRAGE,Resistance during power failure resulted in fury,4,7,,0.785132884979248,0.7155515551567078,0.5276275873184204,0.733380913734436,0.59183669090271,0.5967350006103516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.5714285714285714,0,0.2222222222222222
bird,robin,1,0,0.23,Bird,ROBIN,Bird beginning to roost on old rubbish receptacle,6,2,,0.9080472588539124,0.9157622456550598,0.8833715915679932,0.79100102186203,0.8499731421470642,0.6518768072128296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,4,0.8,0,0.5
ring,arena,1,0,0.47,Ring,ARENA,Ring up a new date,15,4,,0.5726445913314819,0.08793376386165619,0.549130380153656,0.3268504738807678,0.2329830378293991,0.31505119800567627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3,0.8,0,0.3333333333333333
girl,ruth,1,0,0.36,Girl,RUTH,"Girl, in fact, needing no introduction",5,4,,0.8773635625839233,0.8648823499679565,0.8650888204574585,0.6303781867027283,0.4651520252227783,0.6408965587615967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,1.0,0,0.14285714285714285
thong,strap,1,0,0.435,Thong,STRAP,Thong made from tarps,5,8,,0.6746200323104858,0.6587425470352173,0.5730876326560974,0.6460682153701782,0.622098982334137,0.5368494987487793,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,1.0,0,0.1111111111111111
arguments,disagreements,1,0,0.445,arguments,DISAGREEMENTS,Greediest man’s involved in arguments,7,3,,0.5795960426330566,0.571669340133667,0.4961209297180176,0.6289801597595215,0.5613910555839539,0.6528304219245911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.6923076923076923,0,0.7272727272727273
aid,abet,1,0,0.285,aid,ABET,A sporting investment aid,6,1,,0.7091591358184814,0.33290165662765503,0.8902515172958374,0.6131478548049927,0.6131476163864136,0.6131476163864136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,3,0.75,1,0.16666666666666666
mountain,matterhorn,1,0,0.14,mountain,MATTERHORN,The thing that blows on a mountain,2,1,,0.8124425411224365,0.8908601999282837,0.6217674612998962,0.7012903690338135,0.7012903690338135,0.7012903690338135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,8,0.8,1,0.5
letters,mail,1,0,0.175,letters,MAIL,He delivered letters,9,7,,0.7168399095535278,0.7918210029602051,0.41207218170166016,0.6366326212882996,0.6076077818870544,0.35705363750457764,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,7,0.5714285714285714,0,0.125
once,one-time,1,0,0.375,once,ONE-TIME,A mite mutates once,3,1,,0.6576535105705261,0.5929662585258484,0.7133074998855591,0.6029261350631714,0.6029261350631714,0.6029261350631714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.5,1,0.375
on_average,overall,1,0,0.24,on average,OVERALL,Completed a couple of lines on average,1,4,,0.649674654006958,0.649674654006958,0.6496742367744446,0.6287703514099121,0.5555660724639893,0.6040792465209961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.7,1,0.5555555555555556
football_score,touchdown,1,0,0.34,Football score,TOUCHDOWN,"Football score that hurts Germany, community gathers",1,2,,0.6886104941368103,0.6886104941368103,0.6886104941368103,0.6799967288970947,0.6793975830078125,0.6110925674438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,12,0.6428571428571429,0,0.1875
team,rangers,1,0,0.265,Team,RANGERS,Team runs to Plantagenet stronghold,3,3,,0.9314361810684204,0.9010747671127319,0.8847589492797852,0.6264752149581909,0.5924122333526611,0.6635569334030151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,6,0.5714285714285714,0,0.25
witness,testify,1,0,0.41,witness,TESTIFY,Liable to be angry about providing witness,7,2,,0.9003938436508179,0.8419312238693237,0.43962252140045166,0.5250321626663208,0.5119565725326538,0.47732532024383545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,7,1.0,0,0.5
modicum,morsel,1,0,0.375,Modicum,MORSEL,Modicum of egotism or selfishness,1,2,,0.8414381742477417,0.8414385318756104,0.8414381742477417,0.6620851159095764,0.7027133107185364,0.5344300270080566,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.8571428571428571,1,0.2
beryl,stone,1,0,0.385,Beryl,STONE,"Beryl from south-east, gaining weight?",1,16,,0.45502954721450806,0.45502954721450806,0.45502954721450806,0.6624621152877808,0.41597795486450195,0.4263882040977478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,1.0,0,0.1111111111111111
city,beirut,1,0,0.43,City,BEIRUT,City announced part of coastal path,3,1,,0.7539555430412292,0.6733927726745605,0.6948612928390503,0.5590741634368896,0.5590742826461792,0.5590742826461792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.6666666666666666,0,0.25
bland,anodyne,1,0,0.345,bland,ANODYNE,Annoyed about being bland,3,2,,0.7473898530006409,0.4801095724105835,0.6702568531036377,0.5677307844161987,0.4379543364048004,0.5862686634063721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.7142857142857143,0,0.375
fix,resolve,1,0,0.41,Fix,RESOLVE,Fix and repair shoe around top of vamp,17,9,,0.7752591371536255,0.2036243975162506,0.7629804611206055,0.577581524848938,0.2940629720687866,0.5562590956687927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.42857142857142855,0,0.0
vehicle,wheelbarrow,1,0,0.415,Vehicle,WHEELBARROW,Vehicle taking wife and cad to Cumbrian town,4,2,,0.7691458463668823,0.8844280242919922,0.7580463886260986,0.7934781312942505,0.7663866877555847,0.7834799289703369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,10,0.6363636363636364,0,0.2727272727272727
jacket,reefer,1,0,0.135,Jacket,REEFER,Jacket on free distribution,7,1,,0.836961567401886,0.7772572040557861,0.7499869465827942,0.8137044310569763,0.8137044906616211,0.8137044310569763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5,1.0,0,0.125
reasonable,legitimate,1,0,0.39,reasonable,LEGITIMATE,Elope with current partner being reasonable,3,7,,0.8151075839996338,0.7279648780822754,0.8024061918258667,0.6390151381492615,0.33243852853775024,0.5569403171539307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,1.0,0,0.25
revision,amendment,1,0,0.385,revision,AMENDMENT,Man met end making revision,3,2,,0.623717188835144,0.32370439171791077,0.6404297351837158,0.447579562664032,0.44343283772468567,0.3930402398109436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,8,0.8888888888888888,0,0.18181818181818182
concert,prom,1,0,0.405,concert,PROM,No end of publicity for concert,3,1,,0.5856578350067139,0.8850648999214172,0.28719213604927063,0.4550202190876007,0.4550202190876007,0.455020010471344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,7,0.5714285714285714,0,0.25
bill,police,1,0,0.35,Bill,POLICE,"…’Cut!’ — coming up, ‘Kill Bill‘",13,2,,0.4857027530670166,0.23293299973011017,0.3826615810394287,0.40111905336380005,0.3993144631385803,0.3908798098564148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,5,0.6666666666666666,0,0.2857142857142857
indefatigability,stamina,1,0,0.395,indefatigability,STAMINA,It develops with a man’s indefatigability,1,2,,0.603014349937439,0.6030141115188599,0.6030138731002808,0.4536813497543335,0.5318172574043274,0.28895771503448486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,13,0.4375,0,0.3076923076923077
lamented,rued,1,0,0.43,Lamented,RUED,Lamented that rent initially was owed on return,3,1,,0.6953168511390686,0.6397905945777893,0.6623625755310059,0.588883638381958,0.588883638381958,0.588883638381958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0.5,0,0.2222222222222222
drink,sherry,1,0,0.305,Drink,SHERRY,Drink the female bishop gets before Sunday’s ending,10,1,,0.7636421322822571,0.8709791302680969,0.3084288537502289,0.680273175239563,0.680273175239563,0.6802731156349182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0.8333333333333334,0,0.1111111111111111
crazy,manic,1,0,0.33,Crazy,MANIC,Crazy old lady needs innumerable cats initially,6,1,,0.8519601821899414,0.818964958190918,0.7210112810134888,0.7262364625930786,0.7262364625930786,0.7262364625930786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,1.0,0,0.25
waterfowl,eider,1,0,0.175,Waterfowl,EIDER,"Waterfowl, bottom-up, floundered — I emoted somewhat",1,1,,0.7953708171844482,0.7953702211380005,0.7953702211380005,0.8101333975791931,0.8101334571838379,0.810133695602417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0.5555555555555556,0,0.2
strange,weird,1,0,0.205,Strange,WEIRD,Strange women having bumpy ride,3,3,,0.7955045104026794,0.7395380735397339,0.7425016164779663,0.7948141098022461,0.7282337546348572,0.7247940897941589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.7142857142857143,0,0.2
flamboyant,rococo,1,0,0.25,Flamboyant,ROCOCO,"Flamboyant jumper worn by choice, oddly",3,2,,0.7956602573394775,0.6474069952964783,0.732844352722168,0.6417896747589111,0.619830846786499,0.5616072416305542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.6,0,0.09090909090909091
casual,ad_hoc,1,0,0.29,Casual,AD HOC,Casual notice — wine in short supply,9,3,,0.8742608428001404,0.7630167007446289,0.7492192983627319,0.6373481750488281,0.671001672744751,0.5112818479537964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,1.0,0,0.2222222222222222
check,make_sure,1,0,0.46,check,MAKE SURE,Resume moves with a king in check,38,1,,0.6068210601806641,0.3105963170528412,0.5303447246551514,0.4890115261077881,0.48901158571243286,0.48901158571243286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,8,0.5555555555555556,0,0.2
chaos,turmoil,1,0,0.2,chaos,TURMOIL,"Lit up, having had rum cocktail nothing to eat: chaos",4,3,,0.7242584228515625,0.7698599100112915,0.548650860786438,0.7296991348266602,0.6938571929931641,0.7180168628692627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0.7142857142857143,0,0.09090909090909091
overlord,suzerain,1,0,0.435,overlord,SUZERAIN,Tabloid covers mad Zaire overlord,1,1,,0.8075894117355347,0.8075894117355347,0.8075895309448242,0.559367299079895,0.559367299079895,0.5593670606613159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,7,1.0,0,0.16666666666666666
desirable,sexy,1,0,0.465,Desirable,SEXY,Desirable limits of Spitfire plane’s coordinates?,2,2,,0.8255207538604736,0.7879093885421753,0.7705418467521667,0.5429643392562866,0.5094113945960999,0.5290953516960144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.4444444444444444,0,0.2
criminal,culprit,1,0,0.405,criminal,CULPRIT,"Copper, on lake trip abroad, finds criminal",4,1,,0.7948651313781738,0.8699290156364441,0.647593080997467,0.6590360999107361,0.6590360999107361,0.6590360999107361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.875,1,0.4
work,symphony,1,0,0.405,work,SYMPHONY,Variable speed acceptable in extremely showy work,34,2,,0.48900216817855835,0.6618035435676575,0.4510311186313629,0.38209789991378784,0.30683863162994385,0.41224753856658936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,7,0.5,0,0.1
city,athens,1,0,0.415,City,ATHENS,City seeing wild Thebans losing capital in Boeotia,3,3,,0.8453260660171509,0.756511390209198,0.8058444261550903,0.7064014673233032,0.4850328862667084,0.7115022540092468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.6666666666666666,0,0.1111111111111111
medicine,antacid,1,0,0.305,Medicine,ANTACID,"Medicine can aid upset, given time",5,2,,0.850635290145874,0.7210162878036499,0.7992328405380249,0.6089999079704285,0.6222556829452515,0.5820082426071167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0.875,0,0.5
resettles,emigrates,1,0,0.235,Resettles,EMIGRATES,Resettles monthly instalment charges including a grand,1,1,,0.5046868920326233,0.5046868920326233,0.5046868920326233,0.4479541778564453,0.4479539394378662,0.4479539394378662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,7,1.0,0,0.4444444444444444
perfect,ideal,1,0,0.36,perfect,IDEAL,Island with wood is perfect,5,5,,0.7736142873764038,0.40896567702293396,0.7898085713386536,0.5717372894287109,0.4654187560081482,0.33929720520973206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.7142857142857143,0,0.1
flier,nightjar,1,0,0.355,Flier,NIGHTJAR,Flier near pitch around the centre of Dijon,3,1,,0.7694786787033081,0.7551953792572021,0.5824898481369019,0.6164994239807129,0.6164993047714233,0.6164993047714233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,7,0.625,0,0.18181818181818182
punch,sangria,1,0,0.3,Punch,SANGRIA,"Punch, having belted out tune the wrong way",6,1,,0.7090812921524048,0.5479148030281067,0.5493046045303345,0.6522670388221741,0.6522670388221741,0.6522670388221741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,6,0.7142857142857143,0,0.1
call_up,evoke,1,0,0.205,Call up,EVOKE,Call up in time before collecting in order,5,5,,0.7537823915481567,0.6132662296295166,0.5851183533668518,0.6090825200080872,0.5167520642280579,0.5669161081314087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.7142857142857143,0,0.0
hand_out,allot,1,0,0.325,Hand out,ALLOT,Hand out thirty-nine biblical books for Protestants?,1,3,,0.6487842798233032,0.648783802986145,0.648783802986145,0.4860130250453949,0.4453510642051697,0.5841894149780273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,0.625,0,0.3333333333333333
round,spherical,1,0,0.425,round,SPHERICAL,Make his parcel round,25,2,,0.696943998336792,0.30585941672325134,0.423218697309494,0.6921601295471191,0.647957444190979,0.7157605886459351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.5555555555555556,0,0.07692307692307693
bloodless,anaemic,1,0,0.26,Bloodless,ANAEMIC,Bloodless returning spooks keeping nasty,5,2,,0.7607616186141968,0.7302920818328857,0.6273001432418823,0.7260720729827881,0.645297110080719,0.7206198573112488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.7777777777777778,0,0.09090909090909091
playing_area,pitch,1,0,0.455,Playing area,PITCH,Playing area perfect for some musicians,1,22,,0.8343164920806885,0.834316074848175,0.8343164920806885,0.6659799218177795,0.3907034993171692,0.46102622151374817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,10,0.4166666666666667,1,0.15384615384615385
