word,row,synset_name,phrase,self_ref
abduction,124,abduction.n.01,<t>abduction</t>: the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife,False
abductor,125,kidnapper.n.01,<t>abductor</t>: someone who unlawfully seizes and detains a victim (usually for ransom),False
abecedarian,126,abecedarian.n.01,<t>abecedarian</t>: a novice learning the rudiments of some subject,False
abed,127,abed.r.01,<t>abed</t>: in bed,False
abel_tasman,128,tasman.n.01,<t>abel tasman</t>: Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659),False
abelard,129,abelard.n.01,<t>abelard</t>: French philosopher and theologian; lover of Heloise (1079-1142),False
abele,130,white_poplar.n.01,<t>abele</t>: a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces,False
abelia,131,abelia.n.01,<t>abelia</t>: any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico,True
aberdeen,132,aberdeen.n.01,<t>aberdeen</t>: a town in western Washington,False
aberdeen_angus,133,aberdeen_angus.n.01,<t>aberdeen angus</t>: black hornless breed from Scotland,False
aberdonian,134,aberdonian.a.01,<t>aberdonian</t>: of or relating to Aberdeen,False
aberrance,135,aberrance.n.01,<t>aberrance</t>: a state or condition markedly different from the norm,False
aberrant,136,aberrant.n.01,<t>aberrant</t>: one whose behavior departs substantially from the norm of a group,False
aberrates,137,aberrate.v.01,<t>aberrates</t>: diverge from the expected,False
aberration,138,aberrance.n.01,<t>aberration</t>: a state or condition markedly different from the norm,False
aberrations,139,aberrance.n.01,<t>aberrations</t>: a state or condition markedly different from the norm,False
abet,140,abet.v.01,"<t>abet</t>: assist or encourage, usually in some wrongdoing",False
abets,141,abet.v.01,"<t>abets</t>: assist or encourage, usually in some wrongdoing",False
abettal,142,abetment.n.01,<t>abettal</t>: the verbal act of urging on,False
abetted,143,abet.v.01,"<t>abetted</t>: assist or encourage, usually in some wrongdoing",False
abetter,144,abettor.n.01,<t>abetter</t>: one who helps or encourages or incites another,False
abetting,145,abet.v.01,"<t>abetting</t>: assist or encourage, usually in some wrongdoing",False
abettor,146,abettor.n.01,<t>abettor</t>: one who helps or encourages or incites another,False
abeyance,147,abeyance.n.01,<t>abeyance</t>: temporary cessation or suspension,False
abeyant,148,abeyant.s.01,<t>abeyant</t>: inactive but capable of becoming active,False
abhor,149,abhor.v.01,<t>abhor</t>: find repugnant,False
abhorred,150,abhor.v.01,<t>abhorred</t>: find repugnant,False
abhorrence,151,abhorrence.n.01,<t>abhorrence</t>: hate coupled with disgust,False
abhorrent,152,abhorrent.s.01,<t>abhorrent</t>: offensive to the mind,False
abhors,153,abhor.v.01,<t>abhors</t>: find repugnant,False
abidance,154,conformity.n.02,<t>abidance</t>: acting according to certain accepted standards,False
abide,155,bide.v.01,<t>abide</t>: dwell,False
abided,156,bide.v.01,<t>abided</t>: dwell,False
abides,157,bide.v.01,<t>abides</t>: dwell,False
abiding,158,bide.v.01,<t>abiding</t>: dwell,False
abidjan,159,abidjan.n.01,<t>abidjan</t>: city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast,False
abilities,160,ability.n.01,<t>abilities</t>: the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,False
ability,161,ability.n.01,<t>ability</t>: the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,False
abject,162,abject.s.01,<t>abject</t>: of the most contemptible kind,False
abjection,163,abasement.n.01,<t>abjection</t>: a low or downcast state; - H.L.Menchken,False
abjure,164,abjure.v.01,"<t>abjure</t>: formally reject or disavow a formerly held belief, usually under pressure",False
abjured,165,abjure.v.01,"<t>abjured</t>: formally reject or disavow a formerly held belief, usually under pressure",False
ablate,166,ablate.v.01,<t>ablate</t>: wear away through erosion or vaporization,False
ablated,167,ablate.v.01,<t>ablated</t>: wear away through erosion or vaporization,False
ablative,168,ablative.n.01,<t>ablative</t>: the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb,False
ablaze,169,ablaze.s.01,<t>ablaze</t>: keenly excited (especially sexually) or indicating excitement; - Bram Stoker,False
able,170,able.a.01,<t>able</t>: (usually followed by `to') having the necessary means or skill or know-how or authority to do something,False
able-bodied,171,able.s.03,<t>able-bodied</t>: having a strong healthy body,False
able_seaman,172,able_seaman.n.01,<t>able seaman</t>: a seaman in the merchant marine; trained in special skills,False
abler,173,able.a.01,<t>abler</t>: (usually followed by `to') having the necessary means or skill or know-how or authority to do something,False
abloom,174,abloom.s.01,<t>abloom</t>: bursting into flower,False
ablution,175,ablution.n.01,<t>ablution</t>: the ritual washing of a priest's hands or of sacred vessels,False
ablutions,176,ablution.n.01,<t>ablutions</t>: the ritual washing of a priest's hands or of sacred vessels,False
ably,177,competently.r.01,<t>ably</t>: with competence; in a competent capable manner,False
abnegate,178,deny.v.05,"<t>abnegate</t>: deny oneself (something); restrain, especially from indulging in some pleasure",False
abnegated,179,deny.v.05,"<t>abnegated</t>: deny oneself (something); restrain, especially from indulging in some pleasure",False
abnegates,180,deny.v.05,"<t>abnegates</t>: deny oneself (something); restrain, especially from indulging in some pleasure",False
abnegation,181,abnegation.n.01,<t>abnegation</t>: the denial and rejection of a doctrine or belief,False
abnormal,182,abnormal.a.01,<t>abnormal</t>: not normal; not typical or usual or regular or conforming to a norm,False
abnormality,183,abnormality.n.01,<t>abnormality</t>: an abnormal physical condition resulting from defective genes or developmental deficiencies,False
abnormally,184,abnormally.r.01,<t>abnormally</t>: in an abnormal manner,False
aboard,185,aboard.r.01,"<t>aboard</t>: on a ship, train, plane or other vehicle",False
abode,186,residence.n.01,<t>abode</t>: any address at which you dwell more than temporarily,False
abodes,187,residence.n.01,<t>abodes</t>: any address at which you dwell more than temporarily,False
abolish,188,abolish.v.01,<t>abolish</t>: do away with,False
abolishes,189,abolish.v.01,<t>abolishes</t>: do away with,False
abolishment,190,abolition.n.01,<t>abolishment</t>: the act of abolishing a system or practice or institution (especially abolishing slavery),False
abolition,191,abolition.n.01,<t>abolition</t>: the act of abolishing a system or practice or institution (especially abolishing slavery),False
abolitionist,192,abolitionist.n.01,<t>abolitionist</t>: a reformer who favors abolishing slavery,False
abomasum,193,abomasum.n.01,<t>abomasum</t>: the fourth compartment of the stomach of a ruminant; the one where digestion takes place,False
abominable,194,abominable.s.01,<t>abominable</t>: unequivocally detestable; ; ; ; - Edmund Burke,False
abominate,195,abhor.v.01,<t>abominate</t>: find repugnant,False
abominates,196,abhor.v.01,<t>abominates</t>: find repugnant,False
abomination,197,abomination.n.01,<t>abomination</t>: a person who is loathsome or disgusting,False
aboriginal,198,aborigine.n.02,<t>aboriginal</t>: a dark-skinned member of a race of people living in Australia when Europeans arrived,False
aborigine,199,native.n.01,<t>aborigine</t>: an indigenous person who was born in a particular place,False
aborigines,200,native.n.01,<t>aborigines</t>: an indigenous person who was born in a particular place,False
abort,201,abort.n.01,<t>abort</t>: the act of terminating a project or procedure before it is completed,False
aborted,202,abort.v.01,<t>aborted</t>: terminate before completion,False
abortion,203,abortion.n.01,<t>abortion</t>: termination of pregnancy,False
abortive,204,abortive.s.01,<t>abortive</t>: failing to accomplish an intended result,False
aborts,205,abort.n.01,<t>aborts</t>: the act of terminating a project or procedure before it is completed,False
abound,206,abound.v.01,<t>abound</t>: be abundant or plentiful; exist in large quantities,False
abounded,207,abound.v.01,<t>abounded</t>: be abundant or plentiful; exist in large quantities,False
abounding,208,abound.v.01,<t>abounding</t>: be abundant or plentiful; exist in large quantities,False
abounds,209,abound.v.01,<t>abounds</t>: be abundant or plentiful; exist in large quantities,False
about,210,about.s.01,<t>about</t>: on the move,False
about-face,211,about-face.n.01,"<t>about-face</t>: act of pivoting 180 degrees, especially in a military formation",False
about_turn,212,about-face.n.01,"<t>about turn</t>: act of pivoting 180 degrees, especially in a military formation",False
above,213,above.n.01,<t>above</t>: an earlier section of a written text,False
above_all,214,above_all.r.01,<t>above all</t>: above and beyond all other consideration,False
abracadabra,215,abracadabra.n.01,<t>abracadabra</t>: gibberish and nonsense,False
abrade,216,abrade.v.01,<t>abrade</t>: wear away,False
abrades,217,abrade.v.01,<t>abrades</t>: wear away,False
abrading,218,abrade.v.01,<t>abrading</t>: wear away,False
abraham,219,abraham.n.01,"<t>abraham</t>: the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son",True
abraham_lincoln,220,lincoln.n.01,<t>abraham lincoln</t>: 16th President of the United States; saved the Union during the American Civil War and emancipated the slaves; was assassinated by Booth (1809-1865),False
abrasion,221,abrasion.n.01,<t>abrasion</t>: an abraded area where the skin is torn or worn off,False
abrasive,222,abrasive.n.01,<t>abrasive</t>: a substance that abrades or wears down,False
abrasive_material,223,abrasive.n.01,<t>abrasive material</t>: a substance that abrades or wears down,False
abreacting,224,abreact.v.01,<t>abreacting</t>: discharge bad feelings or tension through verbalization,False
abreast,225,abreast.s.01,<t>abreast</t>: being up to particular standard or level especially in being up to date in knowledge,False
abridge,226,abridge.v.01,<t>abridge</t>: reduce in scope while retaining essential elements,False
abridged,227,abridge.v.01,<t>abridged</t>: reduce in scope while retaining essential elements,False
abridgement,228,condensation.n.05,<t>abridgement</t>: a shortened version of a written work,False
abridger,229,abridger.n.01,<t>abridger</t>: one who shortens or abridges or condenses a written work,False
abridges,230,abridge.v.01,<t>abridges</t>: reduce in scope while retaining essential elements,False
abridging,231,abridge.v.01,<t>abridging</t>: reduce in scope while retaining essential elements,False
abridgment,232,condensation.n.05,<t>abridgment</t>: a shortened version of a written work,False
abroad,233,abroad.s.01,<t>abroad</t>: in a foreign country,False
abrogate,234,abrogate.v.01,<t>abrogate</t>: revoke formally,False
abrogation,235,abrogation.n.01,<t>abrogation</t>: the act of abrogating; an official or legal cancellation,False
abrupt,236,abrupt.s.01,<t>abrupt</t>: marked by sudden changes in subject and sharp transitions,False
abrupter,237,abrupt.s.01,<t>abrupter</t>: marked by sudden changes in subject and sharp transitions,False
abruptly,238,abruptly.r.01,<t>abruptly</t>: quickly and without warning,False
abs,239,acrylonitrile-butadiene-styrene.n.01,<t>abs</t>: any of a class of composite plastics used to make car bodies and cases for computers and other appliances,False
abscess,240,abscess.n.01,<t>abscess</t>: symptom consisting of a localized collection of pus surrounded by inflamed tissue,False
abscissa,241,abscissa.n.01,<t>abscissa</t>: the value of a coordinate on the horizontal axis,False
abscond,242,abscond.v.01,<t>abscond</t>: run away; usually includes taking something or somebody along,False
absconded,243,abscond.v.01,<t>absconded</t>: run away; usually includes taking something or somebody along,False
absconder,244,absconder.n.01,<t>absconder</t>: a fugitive who runs away and hides to avoid arrest or prosecution,False
absconders,245,absconder.n.01,<t>absconders</t>: a fugitive who runs away and hides to avoid arrest or prosecution,False
absconding,246,abscond.v.01,<t>absconding</t>: run away; usually includes taking something or somebody along,False
absconds,247,abscond.v.01,<t>absconds</t>: run away; usually includes taking something or somebody along,False
abseil,248,rappel.n.01,<t>abseil</t>: (mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body,False
abseiled,249,rappel.v.01,<t>abseiled</t>: lower oneself with a rope coiled around the body from a mountainside,False
absence,250,absence.n.01,<t>absence</t>: the state of being absent,False
absent,251,absent.v.01,<t>absent</t>: go away or leave,False
absentee,252,absentee.n.01,<t>absentee</t>: one that is absent or not in residence,False
absentees,253,absentee.n.01,<t>absentees</t>: one that is absent or not in residence,False
absentmindedly,254,absently.r.01,<t>absentmindedly</t>: in an absentminded or preoccupied manner,False
absinth,255,absinth.n.01,<t>absinth</t>: strong green liqueur flavored with wormwood and anise,False
absinthe,256,common_wormwood.n.01,<t>absinthe</t>: aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe,True
absinthes,257,common_wormwood.n.01,<t>absinthes</t>: aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe,False
absolute,258,absolute.n.01,<t>absolute</t>: something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative,False
absolutely,259,absolutely.r.01,<t>absolutely</t>: completely and without qualification; used informally as intensifiers,False
absolution,260,absolution.n.01,<t>absolution</t>: the condition of being formally forgiven by a priest in the sacrament of penance,False
absolutist,261,absolutist.n.01,<t>absolutist</t>: one who advocates absolutism,False
absolve,262,shrive.v.01,<t>absolve</t>: grant remission of a sin to,False
absolved,263,shrive.v.01,<t>absolved</t>: grant remission of a sin to,False
absolves,264,shrive.v.01,<t>absolves</t>: grant remission of a sin to,False
absolving,265,shrive.v.01,<t>absolving</t>: grant remission of a sin to,False
absorb,266,absorb.v.01,<t>absorb</t>: become imbued,False
absorbed,267,absorb.v.01,<t>absorbed</t>: become imbued,False
absorbent,268,absorbent_material.n.01,<t>absorbent</t>: a material having capacity or tendency to absorb another substance,False
absorbent_material,269,absorbent_material.n.01,<t>absorbent material</t>: a material having capacity or tendency to absorb another substance,False
absorber,270,absorber.n.01,<t>absorber</t>: (physics) material in a nuclear reactor that absorbs radiation,False
absorbing,271,absorb.v.01,<t>absorbing</t>: become imbued,False
absorbs,272,absorb.v.01,<t>absorbs</t>: become imbued,False
absorption,273,absorption.n.01,<t>absorption</t>: (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,False
abstain,274,abstain.v.01,<t>abstain</t>: refrain from voting,False
abstainer,275,abstainer.n.01,<t>abstainer</t>: someone who practices self denial as a spiritual discipline,False
abstains,276,abstain.v.01,<t>abstains</t>: refrain from voting,False
abstemious,277,abstemious.a.01,<t>abstemious</t>: sparing in consumption of especially food and drink; - John Galsworthy,False
abstention,278,abstinence.n.01,<t>abstention</t>: the trait of abstaining (especially from alcohol),False
abstinence,279,abstinence.n.01,<t>abstinence</t>: the trait of abstaining (especially from alcohol),False
abstinent,280,abstainer.n.02,<t>abstinent</t>: a person who refrains from drinking intoxicating beverages,False
abstract,281,abstraction.n.01,<t>abstract</t>: a concept or idea not associated with any specific instance,False
abstracted,282,abstract.v.01,<t>abstracted</t>: consider a concept without thinking of a specific example; consider abstractly or theoretically,False
abstraction,283,abstraction.n.01,<t>abstraction</t>: a concept or idea not associated with any specific instance,False
abstracts,284,abstraction.n.01,<t>abstracts</t>: a concept or idea not associated with any specific instance,False
abstruse,285,abstruse.s.01,<t>abstruse</t>: difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,False
absurd,286,absurd.n.01,<t>absurd</t>: a situation in which life seems irrational and meaningless; --Albert Camus,False
absurdities,287,absurdity.n.01,<t>absurdities</t>: a message whose content is at variance with reason,False
absurdity,288,absurdity.n.01,<t>absurdity</t>: a message whose content is at variance with reason,False
absurdly,289,absurdly.r.01,<t>absurdly</t>: in an absurd manner or to an absurd degree,False
absurdness,290,absurdity.n.01,<t>absurdness</t>: a message whose content is at variance with reason,False
abu_dhabi,291,abu_dhabi.n.01,<t>abu dhabi</t>: a sheikhdom of eastern Arabia and capital of the United Arab Emirates,False
abuja,292,abuja.n.01,<t>abuja</t>: capital of Nigeria in the center of the country,False
abundance,293,abundance.n.01,<t>abundance</t>: the property of a more than adequate quantity or supply,False
abundant,294,abundant.a.01,<t>abundant</t>: present in great quantity,False
abundantly,295,abundantly.r.01,<t>abundantly</t>: in an abundant manner,False
abuse,296,maltreatment.n.01,<t>abuse</t>: cruel or inhumane treatment,False
abused,297,mistreat.v.01,<t>abused</t>: treat badly,False
abuser,298,abuser.n.01,<t>abuser</t>: someone who abuses,False
abusers,299,abuser.n.01,<t>abusers</t>: someone who abuses,False
abuses,300,maltreatment.n.01,<t>abuses</t>: cruel or inhumane treatment,False
abusing,301,mistreat.v.01,<t>abusing</t>: treat badly,False
abusive,302,abusive.s.01,<t>abusive</t>: expressing offensive reproach,False
abusively,303,abusively.r.01,<t>abusively</t>: in an abusive manner,False
abut,304,border.v.05,<t>abut</t>: lie adjacent to another or share a boundary,False
abutilon,305,abutilon.n.01,<t>abutilon</t>: herbs or shrubs or small trees: flowering maple; Indian mallow,False
abutment,306,abutment.n.01,<t>abutment</t>: point of contact between two objects or parts,False
abuts,307,border.v.05,<t>abuts</t>: lie adjacent to another or share a boundary,False
abutted,308,border.v.05,<t>abutted</t>: lie adjacent to another or share a boundary,False
abutter,309,abutter.n.01,<t>abutter</t>: the owner of contiguous property,False
abuzz,310,abuzz.s.01,<t>abuzz</t>: noisy like the sound of a bee,False
abysm,311,abyss.n.01,<t>abysm</t>: a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively),False
abysmal,312,abysmal.s.01,<t>abysmal</t>: very great; limitless,False
abysmally,313,terribly.r.02,<t>abysmally</t>: in a terrible manner,False
abysms,314,abyss.n.01,<t>abysms</t>: a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively),False
