clue_id,definition,answer_wn,distractor_wn,anchor,positive,negative
157,cardinal,eleven,primary,Flat behind the Spanish <t>cardinal</t>,<t>eleven</t>: the cardinal number that is the sum of ten and one,<t>primary</t>: a preliminary election where delegates or nominees are chosen
159,Class,caste,divisions,<t>Class</t> left out of big house,<t>caste</t>: social status or position conferred by a system based on class,<t>divisions</t>: an army unit large enough to sustain combat
161,Back,second,lagging,<t>Back</t> in a short while,<t>second</t>: 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites,<t>lagging</t>: used to wrap around pipes or boilers or laid in attics to prevent loss of heat
162,bag,termagant,jamjar,Swimming manager fills dry <t>bag</t>,<t>termagant</t>: a scolding nagging bad-tempered woman,<t>jamjar</t>: a jar for holding jellies or preserves
169,Quickly,apace,evenly,<t>Quickly</t> take horse from native American,<t>apace</t>: with rapid movements,<t>evenly</t>: in equal amounts or shares; in a balanced or impartial way
192,Present,offer,recite,<t>Present</t> of francs given to monarch,<t>offer</t>: the verbal act of offering,<t>recite</t>: recite in elocution
194,cheese,parmesan,cheese,Smear pan to cook <t>cheese</t>,<t>parmesan</t>: hard dry sharp-flavored Italian cheese; often grated,<t>cheese</t>: a solid food prepared from the pressed curd of milk
201,food,fare,chickenfeed,Reasonable-sounding <t>food</t>,<t>fare</t>: an agenda of things to do,<t>chickenfeed</t>: a trifling sum of money
202,Police force,gendarmerie,press_gang,"<t>Police force</t>, green, admire criminal",<t>gendarmerie</t>: French police force; a group of gendarmes or gendarmes collectively,<t>press gang</t>: a detachment empowered to force civilians to serve in the army or navy
228,noticed,heeded,conceive,What about two media bigshots gets <t>noticed</t>,<t>heeded</t>: pay close attention to; give heed to,<t>conceive</t>: have the idea for
255,Name,identify,cognomen,<t>Name</t> I yet find strange,<t>identify</t>: recognize as being; establish the identity of someone or something,<t>cognomen</t>: a familiar name for a person (often a shortened version of a person's given name)
265,Private,in_camera,undercover,<t>Private</t> place for film?,<t>in camera</t>: kept private or confined to those intimately concerned,<t>undercover</t>: conducted with or marked by hidden aims or methods
275,Remove,delete,put_down,<t>Remove</t> obstruction in river,<t>delete</t>: remove or make invisible,<t>put down</t>: cause to sit or seat or be in a settled position or place
283,Rat,apostate,badger,<t>Rat</t> initially attracted by rubbish put outside,<t>apostate</t>: a disloyal person who betrays or deserts his cause or religion or political party or friend etc.,<t>badger</t>: a native or resident of Wisconsin
285,palm,rattan,hooters,Sailor climbing brown <t>palm</t>,<t>rattan</t>: climbing palm of Sri Lanka and southern India remarkable for the great length of the stems which are used for malacca canes,<t>hooters</t>: informal terms for the nose
325,uplifting,levitation,dashing,Priest and French actor performing? It's <t>uplifting</t>,<t>levitation</t>: the phenomenon of a person or thing rising into the air by apparently supernatural means,<t>dashing</t>: run or move very quickly or hastily
327,Perversion,sadism,intemperance,<t>Perversion</t> is admitted by unfortunate male,<t>sadism</t>: sexual pleasure obtained by inflicting harm (physical or psychological) on others,<t>intemperance</t>: the quality of being intemperate
344,Asian,tamil,cuban,<t>Asian</t> dog covering miles,<t>tamil</t>: a member of the mixed Dravidian and Caucasian people of southern India and Sri Lanka,<t>cuban</t>: a native or inhabitant of Cuba
355,brickbat,raspberry,pavan,British are out to block harsh <t>brickbat</t>,<t>raspberry</t>: woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries,<t>pavan</t>: music composed for dancing the pavane
374,list,register,indexes,Organ stop in <t>list</t>,<t>register</t>: an official written record of names or events or transactions,<t>indexes</t>: a numerical scale used to compare variables with one another or with some reference number
387,Concentrate,focus,sublimate,"<t>Concentrate</t> following commander, American",<t>focus</t>: the concentration of attention or energy on something,<t>sublimate</t>: the product of vaporization of a solid
389,Plant,fern,repair,<t>Plant</t> in bogland across river,<t>fern</t>: any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores,<t>repair</t>: the act of putting something in working order again
404,Utopian,idealistic,fiendish,<t>Utopian</t> novel italicised,<t>idealistic</t>: of or relating to the philosophical doctrine of the reality of ideas,<t>fiendish</t>: extremely evil or cruel; expressive of cruelty or befitting hell
415,Condemn,blast,condemning,<t>Condemn</t> explosion,<t>blast</t>: a very long fly ball,<t>condemning</t>: express strong disapproval of
427,Tough guys,bruisers,gents,<t>Tough guys</t> breaking ribs? Sure!,<t>bruisers</t>: a large and strong and heavyset man,<t>gents</t>: informal abbreviation of `gentleman'
431,Cooler,ice,tipsier,<t>Cooler</t> that is cold inside,<t>ice</t>: water frozen in the solid state,<t>tipsier</t>: slightly intoxicated
432,Proposed,nominated,establish,<t>Proposed</t> name I don't change,<t>nominated</t>: propose as a candidate for some honor,<t>establish</t>: set up or found
436,Sprite,elf,marionette,<t>Sprite</t> seen in hotel foyer,<t>elf</t>: (folklore) fairies that are somewhat mischievous,<t>marionette</t>: a small figure of a person operated from above with strings by a puppeteer
437,flower,petunia,agrimony,Tie up an awkward <t>flower</t>,<t>petunia</t>: any of numerous tropical herbs having fluted funnel-shaped flowers,<t>agrimony</t>: a plant of the genus Agrimonia having spikelike clusters of small yellow flowers
472,Serious,earnest,cordial,<t>Serious</t> attention retreat needed,<t>earnest</t>: something of value given by one person to another to bind a contract,<t>cordial</t>: strong highly flavored sweet liquor usually drunk after a meal
474,store,cache,bedchamber,Introduction of competition hurt <t>store</t>,<t>cache</t>: a hidden storage space (for money or provisions or weapons),<t>bedchamber</t>: a room used primarily for sleeping
485,store,stash,bakery,Burned remains after emptying secret <t>store</t>,<t>stash</t>: a secret store of valuables or money,<t>bakery</t>: a workplace where baked goods (breads and cakes and pastries) are produced or sold
493,fortune,megabucks,dukedom,Be getting on motorway over part of England to make <t>fortune</t>,<t>megabucks</t>: a large sum of money (especially as pay or profit),<t>dukedom</t>: the dignity or rank or position of a duke
494,tooth,grinder,tarsi,"Smile, darling, although missing a <t>tooth</t>",<t>grinder</t>: a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States,<t>tarsi</t>: the part of the foot of a vertebrate between the metatarsus and the leg; in human beings the bones of the ankle and heel collectively
506,everywhere,all_over,hither,A couple of lines crossing <t>everywhere</t>,<t>all over</t>: having come or been brought to a conclusion,<t>hither</t>: to this place (especially toward the speaker)
518,Tool,scroll_saw,consoles,<t>Tool</t> displays more wings for aircrew,<t>scroll saw</t>: fine-toothed power saw with a narrow blade; used to cut curved outlines,<t>consoles</t>: a small table fixed to a wall or designed to stand against a wall
523,Christian,lutheran,apostate,In airport goddess replaces old <t>Christian</t>,<t>lutheran</t>: follower of Lutheranism,<t>apostate</t>: a disloyal person who betrays or deserts his cause or religion or political party or friend etc.
525,Stand for,represent,lay_out,<t>Stand for</t> show again?,<t>represent</t>: take the place of or be parallel or equivalent to,<t>lay out</t>: lay out orderly or logically in a line or as if in a line
529,pepper,capsicum,oranges,Aspic possibly combined with <t>pepper</t>,<t>capsicum</t>: any of various tropical plants of the genus Capsicum bearing peppers,<t>oranges</t>: round yellow to orange fruit of any of several citrus trees
531,approved,endorsed,disapprove,"Conclusion about county, not quite <t>approved</t>",<t>endorsed</t>: be behind; approve of,<t>disapprove</t>: consider bad or wrong
551,fall,plummet,leaped,Fruit satisfied in <t>fall</t>,<t>plummet</t>: the metal bob of a plumb line,<t>leaped</t>: move forward by leaps and bounds
565,unit,pascal,batch,Mischievous child cuts leg off its first <t>unit</t>,<t>pascal</t>: a unit of pressure equal to one newton per square meter,<t>batch</t>: all the loaves of bread baked at the same time
566,One,unified,half-dozen,<t>One</t> sacked after university abandons resistance,<t>unified</t>: become one,<t>half-dozen</t>: denoting a quantity consisting of six items or units
574,Inject,inoculate,remit,<t>Inject</t> copper into deformed toenail,<t>inoculate</t>: introduce an idea or attitude into the mind of,"<t>remit</t>: the topic that a person, committee, or piece of research is expected to deal with or has authority to deal with"
575,Annoying,irritant,annoying,"<t>Annoying</t> train, it runs irregularly",<t>irritant</t>: something that causes irritation and annoyance,<t>annoying</t>: the act of troubling or annoying someone
580,Old,aged,coeval,<t>Old</t> were furious when right’s lost,<t>aged</t>: people who are old collectively,<t>coeval</t>: a person of nearly the same age as another
598,fertiliser,nitrate,soot,Increased payment announced for <t>fertiliser</t>,<t>nitrate</t>: any compound containing the nitrate group (such as a salt or ester of nitric acid),<t>soot</t>: a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
614,Replacement,renewal,cleanup,<t>Replacement</t> of kidney we set up internally,<t>renewal</t>: the conversion of wasteland into land suitable for use of habitation or cultivation,<t>cleanup</t>: a very large profit
620,Disturbing,upsetting,stupefy,"<t>Disturbing</t>, being out of bed doing my job?",<t>upsetting</t>: disturb the balance or stability of,<t>stupefy</t>: make dull or stupid or muddle with drunkenness or infatuation
646,Done,water_under_the_bridge,wreak,<t>Done</t> with requirement for Poohsticks,<t>water under the bridge</t>: past events to be put aside,<t>wreak</t>: cause to happen or to occur as a consequence
653,Praise,acclamation,glories,"<t>Praise</t> silent type, advancing initially into battle",<t>acclamation</t>: enthusiastic approval,<t>glories</t>: a state of high honor
673,communion,rapport,abidance,Knock over wine for <t>communion</t>,<t>rapport</t>: a relationship of mutual understanding or trust and agreement between people,<t>abidance</t>: acting according to certain accepted standards
677,Winning,charismatic,mastering,"<t>Winning</t> daily is guaranteed, but not car",<t>charismatic</t>: possessing an extraordinary ability to attract,<t>mastering</t>: becoming proficient in the use of something; having mastery of
683,sweets,lollies,vapours,Hardy tucks into extremely luscious <t>sweets</t>,<t>lollies</t>: informal terms for money,<t>vapours</t>: a state of depression
692,Hoofed mammal,ass,agamid,<t>Hoofed mammal</t> in Kansas occasionally,<t>ass</t>: the fleshy part of the human body that you sit on,<t>agamid</t>: a lizard of the family Agamidae
696,toy,train_set,artefact,Instruct class producing <t>toy</t>,<t>train set</t>: a toy consisting of small models of railroad trains and the track for them to run on,<t>artefact</t>: a man-made object taken as a whole
700,Rescue,retrieve,mares,<t>Rescue</t> dog losing tail,<t>retrieve</t>: get or find back; recover the use of,<t>mares</t>: female equine animal
707,Will,testament,greediness,<t>Will</t> roused mates in canvas shelter,<t>testament</t>: a profession of belief,<t>greediness</t>: an excessive desire for food
711,Entertainer,artiste,buffoon,<t>Entertainer</t> is treat when sozzled,<t>artiste</t>: a public performer (a dancer or singer),<t>buffoon</t>: a rude or vulgar fool
715,window,oriel,edifices,College <t>window</t>,<t>oriel</t>: a projecting bay window corbeled or cantilevered out from a wall,<t>edifices</t>: a structure that has a roof and walls and stands more or less permanently in one place
736,Tries,essays,fends,<t>Tries</t> to present pieces for university tutor?,<t>essays</t>: an analytic or interpretive literary composition,<t>fends</t>: try to manage without help
746,Grate,scrape,grates,<t>Grate</t> fragment ending in fire,<t>scrape</t>: a harsh noise made by scraping,<t>grates</t>: a frame of iron bars to hold a fire
764,Severe,acute,tortuous,<t>Severe</t> reduction in A & E,<t>acute</t>: a mark (') placed above a vowel to indicate pronunciation,<t>tortuous</t>: highly complex or intricate and occasionally devious; ; ; ; ; ; ; ; - Sir Walter Scott
770,funny,droll,campy,Nobleman upset Liberal? That's <t>funny</t>,<t>droll</t>: comical in an odd or whimsical manner,<t>campy</t>: providing sophisticated amusement by virtue of having artificially (and vulgarly) mannered or banal or sentimental qualities
778,Join,unite,correlate,<t>Join</t> a Parisian welcoming computers etc.,<t>unite</t>: act in concert or unite in a common purpose or belief,<t>correlate</t>: either of two or more related or complementary variables
783,still,becalm,erstwhile,Doctor holding delicate fabric up <t>still</t>,<t>becalm</t>: make steady,<t>erstwhile</t>: belonging to some prior time
788,Listless,languid,insensate,"<t>Listless</t>, glad Uni is out",<t>languid</t>: lacking spirit or liveliness,<t>insensate</t>: devoid of feeling and consciousness and animation
794,organ,eye,ring,Odd pieces removed from very new <t>organ</t>,<t>eye</t>: the organ of sight,<t>ring</t>: a characteristic sound
814,disease,tetanus,tonsillitis,Note aunt’s unfortunate <t>disease</t>,<t>tetanus</t>: an acute and serious infection of the central nervous system caused by bacterial infection of open wounds; spasms of the jaw and laryngeal muscles may occur during the late stages,<t>tonsillitis</t>: inflammation of the tonsils (especially the palatine tonsils)
818,City,worcester,rochester,<t>City</t> with terrible secret about gold,<t>worcester</t>: United States lexicographer who was accused of plagiarism by Noah Webster (1784-1865),<t>rochester</t>: a city in western New York; a center of the photographic equipment industry
820,Heavy,oppressive,thick,<t>Heavy</t> work I have outside printing house,<t>oppressive</t>: weighing heavily on the senses or spirit,<t>thick</t>: the location of something surrounded by other things
831,language,estonian,syntax,Established working name for <t>language</t>,<t>estonian</t>: the official language of Estonia; belongs to the Baltic-Finnic family of languages,<t>syntax</t>: the grammatical arrangement of words in sentences
841,Failing,defect,successes,<t>Failing</t> to cross over desert,<t>defect</t>: an imperfection in a bodily system,<t>successes</t>: an event that accomplishes its intended purpose
845,assassin,ninja,sergeant_at_arms,Girl trapping judge’s <t>assassin</t>,<t>ninja</t>: a member of the ninja who were trained in martial arts and hired for espionage or sabotage or assassinations; a person skilled in ninjutsu,<t>sergeant at arms</t>: an officer (as of a legislature or court) who maintains order and executes commands
851,spread,export,rotated,Sandwich <t>spread</t>?,<t>export</t>: commodities (goods or services) sold to a foreign country,<t>rotated</t>: turn on or around an axis or a center
859,disloyalty,treason,faithlessness,No tears about <t>disloyalty</t>,<t>treason</t>: a crime that undermines the offender's government,<t>faithlessness</t>: unfaithfulness by virtue of being unreliable or treacherous
866,horse,stallion,griffon,Delay one riding <t>horse</t>,<t>stallion</t>: uncastrated adult male horse,<t>griffon</t>: winged monster with the head of an eagle and the body of a lion
873,colours,standard,ebony,Stock <t>colours</t>,<t>standard</t>: a basis for comparison; a reference point against which other things can be evaluated,<t>ebony</t>: a very dark black
875,Evergreen,privet,grubby,<t>Evergreen</t> power to fascinate,<t>privet</t>: any of various Old World shrubs having smooth entire leaves and terminal panicles of small white flowers followed by small black berries; many used for hedges,<t>grubby</t>: small sculpin of the coast of New England
881,Monkey,saki,lizard,"<t>Monkey</t> lives around borders of Kenya, to the west",<t>saki</t>: British writer of short stories (1870-1916),<t>lizard</t>: relatively long-bodied reptile with usually two pairs of legs and a tapering tail
883,Poet,longfellow,pindar,<t>Poet</t> who's evidently been on the rack?,<t>longfellow</t>: United States poet remembered for his long narrative poems (1807-1882),<t>pindar</t>: Greek lyric poet remembered for his odes (518?-438? BC)
884,engrossed,rapt,undermined,"In conversation, bound to be <t>engrossed</t>",<t>rapt</t>: feeling great rapture or delight,<t>undermined</t>: destroy property or hinder normal operations
895,PM,melbourne,nostrums,People ecstatic at first about party removing a <t>PM</t>,<t>melbourne</t>: a resort town in east central Florida,<t>nostrums</t>: hypothetical remedy for all ills or diseases; once sought by the alchemists
899,Failing,defect,unbeaten,<t>Failing</t> to change sides,<t>defect</t>: an imperfection in a bodily system,<t>unbeaten</t>: not conquered
906,Delete,erase,cast_off,<t>Delete</t> Times puzzle at the end,<t>erase</t>: remove from memory or existence,<t>cast off</t>: get rid of
912,Suffer,incur,tolerated,<t>Suffer</t> at home with vicious mutt,<t>incur</t>: make oneself subject to; bring upon oneself; become liable to,<t>tolerated</t>: put up with something or somebody unpleasant
921,party,shindig,session,Part of leg found by excavation <t>party</t>,<t>shindig</t>: a large and noisy party of people,<t>session</t>: a meeting for execution of a group's functions
923,Tangle with,enmesh,meshes,<t>Tangle with</t> men he’s upset,<t>enmesh</t>: entangle or catch in (or as if in) a mesh,<t>meshes</t>: the number of openings per linear inch of a screen; measures size of particles
951,Plants,narcissi,figs,<t>Plants</t> in island thus smuggled from the east,<t>narcissi</t>: bulbous plant having erect linear leaves and showy yellow or white flowers either solitary or in clusters,<t>figs</t>: a diagram or picture illustrating textual material
955,protein,interferon,oleins,"Briefly poke around leg, to find <t>protein</t>",<t>interferon</t>: an antiviral protein produced by cells that have been invaded by a virus; inhibits replication of the virus,<t>oleins</t>: a naturally occurring glyceride of oleic acid that is found in fats and oils
966,Lower,ayrshire,briskest,<t>Lower</t> rent Ray's splashed out up front?,"<t>ayrshire</t>: hardy breed of dairy cattle from Ayr, Scotland",<t>briskest</t>: quick and energetic
968,Dairy product,ricotta,ground_fir,<t>Dairy product</t> a girl takes in bed,<t>ricotta</t>: soft Italian cheese like cottage cheese,<t>ground fir</t>: a variety of club moss
976,Insect,stonefly,pterodactyls,<t>Insect</t> — one flapping lamely at first in farm pen,<t>stonefly</t>: primitive winged insect with a flattened body; used as bait by fishermen; aquatic gilled larvae are carnivorous and live beneath stones,<t>pterodactyls</t>: extinct flying reptile
978,Language,swahili,elocution,<t>Language</t> provoked by a limited rise in Westminster?,<t>swahili</t>: the most widely spoken Bantu languages; the official language of Kenya and Tanzania and widely used as a lingua franca in east and central Africa,<t>elocution</t>: an expert manner of speaking involving control of voice and gesture
985,amusing,entertaining,exasperating,Coming in holding that isn’t regularly <t>amusing</t>,<t>entertaining</t>: provide entertainment for,<t>exasperating</t>: exasperate or irritate
992,favour,befriend,grudges,Find beer possibly as <t>favour</t>,<t>befriend</t>: become friends with,<t>grudges</t>: a resentment strong enough to justify retaliation
1006,Deduce,infer,differentiate,<t>Deduce</t> number will have escaped fire,<t>infer</t>: reason by deduction; establish by deduction,<t>differentiate</t>: mark as different
1014,Assails,lambasts,belittles,<t>Assails</t> farm animals seen around middle of pasture,<t>lambasts</t>: beat with a cane,<t>belittles</t>: cause to seem less serious; play down
1020,Judge,arbitrator,excused,<t>Judge</t> savaged scoundrel after artillery backed ordinary soldiers,<t>arbitrator</t>: someone chosen to judge and decide a disputed issue,<t>excused</t>: accept an excuse for
1022,charm,disarm,riveting,Duke is taken by a soldier displaying <t>charm</t>,<t>disarm</t>: remove offensive capability from,<t>riveting</t>: direct one's attention on something
1030,Impromptu,unrehearsed,empiric,<t>Impromptu</t> nude dancing — tries again to interrupt,<t>unrehearsed</t>: with little or no preparation or forethought,<t>empiric</t>: relying on medical quackery
1055,Wall in,immure,slipshod,<t>Wall in</t> middle of commune? Anger about that,"<t>immure</t>: lock up or confine, in or as in a jail",<t>slipshod</t>: marked by great carelessness
1065,Despairing,bleak,condescending,<t>Despairing</t> poet moving end of verse to earlier position,<t>bleak</t>: offering little or no hope; ; ; - J.M.Synge,<t>condescending</t>: behave in a patronizing and condescending manner
1069,wrong,illegal,misguided,Sick bird sounded <t>wrong</t>,<t>illegal</t>: prohibited by law or by official or accepted rules,<t>misguided</t>: lead someone in the wrong direction or give someone wrong directions
1077,game,water_polo,martial_art,Server misses one playing pool <t>game</t>,<t>water polo</t>: a game played in a swimming pool by two teams of swimmers who try to throw an inflated ball into the opponents' goal,<t>martial art</t>: any of several Oriental arts of weaponless self-defense; usually practiced as a sport
1092,neighbourhood,area,metropolis,A mostly concrete <t>neighbourhood</t>,<t>area</t>: a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography),<t>metropolis</t>: a large and densely populated urban area; may include several independent administrative districts
1126,bare,in_the_raw,bodiless,"Wear thin, possibly becoming <t>bare</t>",<t>in the raw</t>: (used informally) completely unclothed,<t>bodiless</t>: not having a material body
1134,approved,validated,rated,"Twirling, maybe the ladies one saw <t>approved</t>",<t>validated</t>: declare or make legally valid,<t>rated</t>: assign a rank or rating to
1151,Christian,lutheran,unbeliever,<t>Christian</t> left university and rushed to pen article,<t>lutheran</t>: follower of Lutheranism,<t>unbeliever</t>: someone who refuses to believe (as in a divinity)
1161,Places,sites,capitals,<t>Places</t> quotes from speakers,<t>sites</t>: the piece of land on which something is located (or is to be located),<t>capitals</t>: assets available for use in the production of further assets
1162,race,steeplechase,raids,Check through rental agreement after expensive <t>race</t>,<t>steeplechase</t>: a footrace of usually 3000 meters over a closed track with hurdles and a water jump,<t>raids</t>: a sudden short attack
1164,Meat,bacon,marrow,<t>Meat</t> embargo broken by firm,<t>bacon</t>: back and sides of a hog salted and dried or smoked; usually sliced thin and fried,<t>marrow</t>: the fatty network of connective tissue that fills the cavities of bones
1170,boy,rob,toddlers,Attack and steal from <t>boy</t>,<t>rob</t>: take something away by force or without the consent of the owner,<t>toddlers</t>: a young child
1175,Demanding,exigent,commends,<t>Demanding</t> old fellow takes one in,<t>exigent</t>: demanding attention; ; ; - H.L.Mencken,<t>commends</t>: express approval of
1190,delicate,precarious,quaint,"Expensive clasps are, almost entirely, <t>delicate</t>",<t>precarious</t>: affording no ease or reassurance,<t>quaint</t>: strange in an interesting or pleasing way
1197,fleet,nippy,armies,Arctic <t>fleet</t>,<t>nippy</t>: a sharp biting taste,<t>armies</t>: a permanent organization of the military land forces of a nation or state
1213,food,dish,feeds,Daughter is wanting hot <t>food</t>,<t>dish</t>: a piece of dishware normally used as a container for holding or serving food,<t>feeds</t>: food for domestic livestock
1217,Writer,emile_zola,lyricist,"<t>Writer</t> knocked back drink after drink, going round Australia",<t>emile zola</t>: French novelist and critic; defender of Dreyfus (1840-1902),<t>lyricist</t>: a person who writes the words for songs
1219,Pan,roast,ram,<t>Pan</t> for cook,<t>roast</t>: a piece of meat roasted or for roasting and of a size for slicing into more than one portion,<t>ram</t>: the most common computer memory which can be used by programs to perform necessary tasks while the computer is on; an integrated circuit memory chip allows information to be stored or accessed in any order and all storage locations are equally accessible
1219,cook,roast,brewing,Pan for <t>cook</t>,<t>roast</t>: a piece of meat roasted or for roasting and of a size for slicing into more than one portion,<t>brewing</t>: the production of malt beverages (as beer or ale) from malt and hops by grinding and boiling them and fermenting the result with yeast
1221,Resourceful,enterprising,fervid,<t>Resourceful</t> burglar with crowbar might?,"<t>enterprising</t>: marked by imagination, initiative, and readiness to undertake new projects",<t>fervid</t>: characterized by intense emotion
1240,host,army,retainers,Member met by Yankee <t>host</t>,<t>army</t>: a permanent organization of the military land forces of a nation or state,<t>retainers</t>: a fee charged in advance to retain the services of someone
1244,fall,lapse,swell,"Drinks excessively at first, leading to <t>fall</t>",<t>lapse</t>: a mistake resulting from inattention,<t>swell</t>: the undulating movement of the surface of the open sea
1251,dressed,clad,dressed,"Cold, boy <t>dressed</t>",<t>clad</t>: provide with clothes or put clothes on,<t>dressed</t>: put on clothes
1253,plant,moss,cinch,Some blossoms on climbing <t>plant</t>,<t>moss</t>: tiny leafy-stemmed flowerless plants,<t>cinch</t>: any undertaking that is easy to do
1257,Appeal,oath,intercession,<t>Appeal</t>? You’ll get nothing on a Thursday!,<t>oath</t>: profane or obscene expression usually of surprise or anger,<t>intercession</t>: a prayer to God on behalf of another person
1264,infatuated,besotted,haunted,"Dote best, madly <t>infatuated</t>",<t>besotted</t>: very drunk,<t>haunted</t>: follow stealthily or recur constantly and spontaneously to
1265,a mistake,flaw,wrongdoing,Following legislation is <t>a mistake</t>,<t>flaw</t>: an imperfection in an object or machine,<t>wrongdoing</t>: departure from what is ethically acceptable
1266,Teacher,tutor,prof,<t>Teacher</t> to express disapproval otherwise,"<t>tutor</t>: a person who gives private instruction (as in singing, acting, etc.)",<t>prof</t>: someone who is a member of the faculty at a college or university
1267,Widespread,general,superficially,<t>Widespread</t> and rank,<t>general</t>: a general officer of the highest rank,<t>superficially</t>: in a superficial manner
1267,rank,general,value,Widespread and <t>rank</t>,<t>general</t>: a general officer of the highest rank,<t>value</t>: a numerical quantity measured or assigned or computed
1274,a gale,wind,storm,Behave like a twister in <t>a gale</t>,<t>wind</t>: air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,<t>storm</t>: a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
1297,card,tarot,green_cards,"Jack obtained, not good <t>card</t>",<t>tarot</t>: any of a set of (usually 72) cards that include 22 cards representing virtues and vices and death and fortune etc.; used by fortunetellers,<t>green cards</t>: a card that identifies the bearer as an alien with permanent resident status in the United States
1300,shaved,pared,trim,"The old man, looking embarrassed, <t>shaved</t>",<t>pared</t>: decrease gradually or bit by bit,<t>trim</t>: a state of arrangement or appearance
